model,seed,uncertainty_signal,outcome,n_observations,pooled_spearman,pooled_pvalue,mean_datewise_spearman,median_datewise_spearman,n_dates
FinPFN,42,member_rank_disagreement,absolute_cross_sectional_z_error,96859,-0.14291661367244646,0.0,-0.14397191127075648,-0.14644993911580168,242
FinPFN,42,member_rank_disagreement,absolute_rank_error,96859,-0.05023787138795258,3.6051809734462515e-55,-0.05130800291596404,-0.050324322260880745,242
FinPFN,42,member_rank_disagreement,rank_instability_next,62823,-0.015595608722045778,9.26314496245861e-05,-0.016474159019805416,-0.01672115860774799,241
FinPFN,42,member_rank_disagreement,realized_forward_ic_deterioration,242,-0.07800499652630925,0.22665010631882015,,,242
FinPFN,42,group_composition_sd,absolute_cross_sectional_z_error,96859,-0.04264114715629382,3.1592801517964255e-40,-0.042154806648934236,-0.04305329700389911,242
FinPFN,42,group_composition_sd,absolute_rank_error,96859,-0.027688964342882757,6.757080185268991e-18,-0.02744170187931395,-0.028637369731149068,242
FinPFN,42,group_composition_sd,rank_instability_next,62823,-0.03832495120008809,7.304191929348312e-22,-0.03834314307610791,-0.03516439454390943,241
FinPFN,42,group_composition_sd,realized_forward_ic_deterioration,242,0.0860886834733182,0.18195132728474936,,,242
FinPFN,42,mean_median_disagreement,absolute_cross_sectional_z_error,96859,0.06996925884144163,2.201681310219452e-105,0.07699398143619333,0.07616338337846922,242
FinPFN,42,mean_median_disagreement,absolute_rank_error,96859,0.034905327324199924,1.6652106897753515e-27,0.03873925375812701,0.04132965890831629,242
FinPFN,42,mean_median_disagreement,rank_instability_next,62823,0.03129196325404359,4.331457629512557e-15,0.03405674116242399,0.03444415712578136,241
FinPFN,42,mean_median_disagreement,realized_forward_ic_deterioration,242,-0.03972369658274349,0.5385554023090322,,,242
FinPFN,42,predictive_interval_width,absolute_cross_sectional_z_error,96859,0.22821190815639786,0.0,0.22651830033374876,0.2284212099326909,242
FinPFN,42,predictive_interval_width,absolute_rank_error,96859,0.10482133370208256,1.0403963713119095e-234,0.10433009542202057,0.10617682077847448,242
FinPFN,42,predictive_interval_width,rank_instability_next,62823,0.09946912548351493,7.29175682345204e-138,0.09961121308066564,0.10399736139624059,241
FinPFN,42,predictive_interval_width,realized_forward_ic_deterioration,242,0.01857123110293875,0.7737834498612866,,,242
