model,date,k,actual_fraction,top_precision,bottom_precision,top_mean_return_decimal,bottom_mean_return_decimal,long_short_return_decimal,top_mean_absolute_rank_error,bottom_mean_absolute_rank_error
TabPFN,2022-04-14 09:30:00,40,0.10152284263959391,0.325,0.2,0.016117021800372788,-0.002238613259504718,0.018355635059877504,0.2967639593908629,0.3826776649746193
TabPFN,2022-04-15 09:30:00,10,0.024691358024691357,0.0,0.0,-0.011193802071257893,0.006950798138203524,-0.018144600209461417,0.6022222222222222,0.5595061728395062
TabPFN,2022-04-15 09:30:00,20,0.04938271604938271,0.1,0.05,-0.0041074666803872974,-0.002588692895346157,-0.0015187737850411403,0.5035802469135803,0.4283950617283952
TabPFN,2022-04-15 09:30:00,40,0.09876543209876543,0.175,0.125,-0.004094355748037929,-0.0015219584477373198,-0.0025723973003006096,0.5169753086419753,0.4309876543209876
TabPFN,2022-04-18 09:30:00,10,0.02518891687657431,0.2,0.1,0.003005848121425822,-0.010739344582446912,0.013745192703872734,0.47455919395465995,0.3929471032745592
TabPFN,2022-04-18 09:30:00,20,0.05037783375314862,0.15,0.25,-0.0008526553166862537,-0.010637125995699794,0.00978447067901354,0.4744332493702771,0.40025188916876575
TabPFN,2022-04-18 09:30:00,40,0.10075566750629723,0.125,0.2,-0.004597352735793156,-0.0011327665259809774,-0.003464586209812179,0.48765743073047857,0.4748740554156171
TabPFN,2022-04-19 09:30:00,10,0.025,0.1,0.1,0.0041224325766505395,-0.003175538001918812,0.007297970578569351,0.4285,0.5037499999999999
TabPFN,2022-04-19 09:30:00,20,0.05,0.05,0.1,0.002271211388996685,0.012262974340494648,-0.009991762951497962,0.43337499999999995,0.6715
TabPFN,2022-04-19 09:30:00,40,0.1,0.125,0.075,0.0019474363009468238,0.005972165025733747,-0.004024728724786923,0.44712499999999994,0.5405
TabPFN,2022-04-20 09:30:00,10,0.024752475247524754,0.0,0.1,-0.002435675519769414,-0.0011799001683114017,-0.0012557753514580124,0.48861386138613866,0.5274752475247525
TabPFN,2022-04-20 09:30:00,20,0.04950495049504951,0.0,0.1,-0.0017034836613974425,-0.002605183056318835,0.0009016993949213926,0.47660891089108903,0.46806930693069315
TabPFN,2022-04-20 09:30:00,40,0.09900990099009901,0.2,0.125,-0.0014219603546826846,-0.00029605251133042206,-0.0011259078433522626,0.4736386138613861,0.46256188118811875
TabPFN,2022-04-21 09:30:00,10,0.024509803921568627,0.2,0.0,-0.004639032168840311,0.005064998648496766,-0.009704030817337077,0.5857843137254901,0.49754901960784303
TabPFN,2022-04-21 09:30:00,20,0.049019607843137254,0.15,0.0,-0.003624231754735458,0.0023266270710817485,-0.005950858825817206,0.5394607843137256,0.4595588235294118
TabPFN,2022-04-21 09:30:00,40,0.09803921568627451,0.15,0.025,-0.0010814449190593382,0.005964026487021696,-0.0070454714060810344,0.47689950980392154,0.5063112745098038
TabPFN,2022-04-22 09:30:00,10,0.02457002457002457,0.1,0.0,-0.015520549477839946,0.004317513791321405,-0.019838063269161352,0.6683046683046683,0.5503685503685503
TabPFN,2022-04-22 09:30:00,20,0.04914004914004914,0.05,0.15,-0.009748241843115684,0.005988994569662167,-0.015737236412777852,0.6034398034398034,0.5562653562653562
TabPFN,2022-04-22 09:30:00,40,0.09828009828009827,0.075,0.175,-0.0033479194681562906,0.002722649632759688,-0.006070569100915978,0.5244471744471745,0.47800982800982805
TabPFN,2022-04-25 09:30:00,10,0.02506265664160401,0.0,0.0,-0.0018660853836504586,0.012459401140962875,-0.014325486524613334,0.4839598997493734,0.6265664160401002
TabPFN,2022-04-25 09:30:00,20,0.05012531328320802,0.05,0.05,0.00432342621577918,0.011325653079331054,-0.0070022268635518735,0.4043859649122806,0.6096491228070176
TabPFN,2022-04-25 09:30:00,40,0.10025062656641603,0.15,0.15,0.00037958372362163485,0.001992098680253357,-0.0016125149566317222,0.42719298245614035,0.4903508771929824
TabPFN,2022-04-26 09:30:00,10,0.024630541871921183,0.1,0.0,0.01135912035530352,0.0026440493693888653,0.008715070985914654,0.41748768472906395,0.5366995073891626
TabPFN,2022-04-26 09:30:00,20,0.04926108374384237,0.15,0.1,0.0071921287574941515,0.0022362376270418775,0.0049558911304522744,0.42697044334975365,0.5020935960591133
TabPFN,2022-04-26 09:30:00,40,0.09852216748768473,0.175,0.1,0.0006646227822754497,0.0035330574758993772,-0.0028684346936239274,0.4615147783251231,0.493411330049261
TabPFN,2022-04-27 09:30:00,10,0.02544529262086514,0.1,0.0,-0.003864951315837757,0.004437447920244142,-0.008302399236081899,0.5282442748091604,0.5994910941475827
TabPFN,2022-04-27 09:30:00,20,0.05089058524173028,0.1,0.1,-0.0016073562667650026,0.0032159695893620977,-0.0048233258561271005,0.4947837150127226,0.5319338422391857
TabPFN,2022-04-27 09:30:00,40,0.10178117048346055,0.125,0.175,-0.0070365890989976,0.00011771766460782155,-0.007154306763605422,0.5143129770992367,0.48250636132315516
TabPFN,2022-04-28 09:30:00,10,0.02531645569620253,0.1,0.1,0.003797897705251427,0.005785748916219153,-0.001987851210967726,0.4615189873417721,0.5663291139240505
TabPFN,2022-04-28 09:30:00,20,0.05063291139240506,0.15,0.05,0.005087228486801511,0.0051299676500388,-4.273916323728911e-05,0.4725316455696202,0.5177215189873416
TabPFN,2022-04-28 09:30:00,40,0.10126582278481013,0.175,0.1,0.008475466136026524,0.0006951350257416444,0.00778033111028488,0.39746835443037976,0.4593037974683544
TabPFN,2022-04-29 09:30:00,10,0.024630541871921183,0.0,0.0,-0.012267572854806504,0.011858937337557714,-0.02412651019236422,0.5896551724137932,0.5992610837438423
TabPFN,2022-04-29 09:30:00,20,0.04926108374384237,0.05,0.0,-0.0025212425666827337,0.004966440592022905,-0.007487683158705638,0.4834975369458128,0.5364532019704432
TabPFN,2022-04-29 09:30:00,40,0.09852216748768473,0.2,0.075,0.005317128726127364,0.0002409966822881214,0.005076132043839243,0.37703201970443345,0.4725369458128078
TabPFN,2022-05-05 09:30:00,10,0.02444987775061125,0.0,0.0,0.003959355052954574,0.0009277347749693302,0.003031620277985244,0.415403422982885,0.5242053789731052
