model,id,tail_periods,top_periods,bottom_periods,cumulative_signed_contribution_decimal,mean_signed_contribution_decimal
FinPFN,300769.XSHE,21,5,16,-0.001445020690347003,-6.8810509064143e-05
FinPFN,300776.XSHE,18,5,13,0.0020786168614116336,0.00011547871452286853
FinPFN,300832.XSHE,28,8,20,-0.002125521172267793,-7.591147043813547e-05
FinPFN,300850.XSHE,8,1,7,-0.000245838555226055,-3.072981940325687e-05
FinPFN,300861.XSHE,9,7,2,0.001463866566184211,0.00016265184068713456
FinPFN,300866.XSHE,8,6,2,-0.000518648664876863,-6.483108310960788e-05
FinPFN,300869.XSHE,45,13,32,-0.0012016035024143025,-2.670230005365117e-05
FinPFN,300888.XSHE,31,18,13,0.00462095622689945,0.00014906310409353062
FinPFN,301029.XSHE,7,0,7,0.0007466511243128453,0.00010666444633040647
FinPFN,600006.XSHG,31,10,21,0.001959266078618776,6.32021315683476e-05
FinPFN,600008.XSHG,29,26,3,0.001511377827057507,5.211647679508645e-05
FinPFN,600021.XSHG,53,19,34,0.008430872010518965,0.00015907305680224463
FinPFN,600022.XSHG,35,33,2,-0.0011914711563164092,-3.404203303761169e-05
FinPFN,600026.XSHG,85,18,67,-0.009587594473584909,-0.00011279522910099892
FinPFN,600027.XSHG,39,11,28,0.005998865887167356,0.00015381707402993222
FinPFN,600032.XSHG,8,7,1,0.0005530092419788769,6.91261552473596e-05
FinPFN,600037.XSHG,27,20,7,-0.0007749734314546615,-2.870271968350598e-05
FinPFN,600038.XSHG,26,17,9,-0.0038328147185305063,-0.0001474159507127118
FinPFN,600039.XSHG,25,14,11,0.001799110411075007,7.196441644300027e-05
FinPFN,600053.XSHG,36,18,18,0.0023852427875188276,6.625674409774521e-05
FinPFN,600056.XSHG,72,8,64,-0.008659206852061153,-0.00012026676183418268
FinPFN,600058.XSHG,32,15,17,0.0004647350312909366,1.452296972784177e-05
FinPFN,600060.XSHG,36,20,16,-0.0003985451523654711,-1.107069867681864e-05
FinPFN,600062.XSHG,71,12,59,-0.015058433825354935,-0.00021209061725852021
FinPFN,600064.XSHG,43,30,13,0.003136466353389758,7.294107798580833e-05
FinPFN,600066.XSHG,37,20,17,-0.003170544670616869,-8.569039650315862e-05
FinPFN,600079.XSHG,32,9,23,0.0032990271416434755,0.00010309459817635861
FinPFN,600088.XSHG,30,19,11,0.0006012720349627336,2.0042401165424453e-05
FinPFN,600089.XSHG,12,5,7,0.0017201741688760977,0.00014334784740634146
FinPFN,600094.XSHG,24,14,10,0.0026717291808677104,0.00011132204920282126
FinPFN,600095.XSHG,44,18,26,0.005141621526519947,0.00011685503469363516
FinPFN,600096.XSHG,25,9,16,0.002290078215589111,9.160312862356443e-05
FinPFN,600118.XSHG,43,21,22,0.0062124222897910145,0.00014447493697188407
FinPFN,600120.XSHG,21,15,6,-0.0010261458048521225,-4.886408594533916e-05
