model,previous_date,date,k,common_assets,cross_date_rank_spearman,mean_absolute_rank_migration,top_overlap_fraction,bottom_overlap_fraction,top_jaccard,bottom_jaccard
FinPFN,2022-02-09 09:30:00,2022-02-10 09:30:00,20,268,0.08568265144350508,0.31125012845317573,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-09 09:30:00,2022-02-10 09:30:00,40,268,0.08568265144350508,0.31125012845317573,0.075,0.15,0.03896103896103896,0.08108108108108109
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,10,262,0.12706732576880517,0.3055787761974149,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,20,262,0.12706732576880517,0.3055787761974149,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-02-10 09:30:00,2022-02-11 09:30:00,40,262,0.12706732576880517,0.3055787761974149,0.1,0.125,0.05263157894736842,0.06666666666666667
FinPFN,2022-02-11 09:30:00,2022-02-14 09:30:00,10,273,0.16670480657170222,0.2995251380123486,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-11 09:30:00,2022-02-14 09:30:00,20,273,0.16670480657170222,0.2995251380123486,0.05,0.1,0.02564102564102564,0.05263157894736842
FinPFN,2022-02-11 09:30:00,2022-02-14 09:30:00,40,273,0.16670480657170222,0.2995251380123486,0.15,0.1,0.08108108108108109,0.05263157894736842
FinPFN,2022-02-14 09:30:00,2022-02-15 09:30:00,10,265,0.15493042211016395,0.2954708273136873,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-14 09:30:00,2022-02-15 09:30:00,20,265,0.15493042211016395,0.2954708273136873,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-14 09:30:00,2022-02-15 09:30:00,40,265,0.15493042211016395,0.2954708273136873,0.025,0.175,0.012658227848101266,0.0958904109589041
FinPFN,2022-02-15 09:30:00,2022-02-16 09:30:00,10,259,0.10425262983402518,0.31765049160606795,0.0,0.3,0.0,0.17647058823529413
FinPFN,2022-02-15 09:30:00,2022-02-16 09:30:00,20,259,0.10425262983402518,0.31765049160606795,0.05,0.2,0.02564102564102564,0.1111111111111111
FinPFN,2022-02-15 09:30:00,2022-02-16 09:30:00,40,259,0.10425262983402518,0.31765049160606795,0.075,0.1,0.03896103896103896,0.05263157894736842
FinPFN,2022-02-16 09:30:00,2022-02-17 09:30:00,10,245,0.1394315743090519,0.3138549086143559,0.0,0.0,0.0,0.0
FinPFN,2022-02-16 09:30:00,2022-02-17 09:30:00,20,245,0.1394315743090519,0.3138549086143559,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-02-16 09:30:00,2022-02-17 09:30:00,40,245,0.1394315743090519,0.3138549086143559,0.1,0.15,0.05263157894736842,0.08108108108108109
FinPFN,2022-02-17 09:30:00,2022-02-18 09:30:00,10,245,0.08221119715379155,0.31735284848798795,0.1,0.0,0.05263157894736842,0.0
FinPFN,2022-02-17 09:30:00,2022-02-18 09:30:00,20,245,0.08221119715379155,0.31735284848798795,0.05,0.05,0.02564102564102564,0.02564102564102564
FinPFN,2022-02-17 09:30:00,2022-02-18 09:30:00,40,245,0.08221119715379155,0.31735284848798795,0.125,0.1,0.06666666666666667,0.05263157894736842
FinPFN,2022-02-18 09:30:00,2022-02-21 09:30:00,10,259,0.06589262403215891,0.3225771424043522,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-18 09:30:00,2022-02-21 09:30:00,20,259,0.06589262403215891,0.3225771424043522,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-18 09:30:00,2022-02-21 09:30:00,40,259,0.06589262403215891,0.3225771424043522,0.075,0.125,0.03896103896103896,0.06666666666666667
FinPFN,2022-02-21 09:30:00,2022-02-22 09:30:00,10,261,0.103108105371859,0.30767603495000473,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-21 09:30:00,2022-02-22 09:30:00,20,261,0.103108105371859,0.30767603495000473,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-02-21 09:30:00,2022-02-22 09:30:00,40,261,0.103108105371859,0.30767603495000473,0.05,0.125,0.02564102564102564,0.06666666666666667
FinPFN,2022-02-22 09:30:00,2022-02-23 09:30:00,10,258,0.01612286174769208,0.32054387673273,0.0,0.0,0.0,0.0
FinPFN,2022-02-22 09:30:00,2022-02-23 09:30:00,20,258,0.01612286174769208,0.32054387673273,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-02-22 09:30:00,2022-02-23 09:30:00,40,258,0.01612286174769208,0.32054387673273,0.05,0.075,0.02564102564102564,0.03896103896103896
FinPFN,2022-02-23 09:30:00,2022-02-24 09:30:00,10,253,0.1627867168777816,0.2969243672711736,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-02-23 09:30:00,2022-02-24 09:30:00,20,253,0.1627867168777816,0.2969243672711736,0.15,0.2,0.08108108108108109,0.1111111111111111
FinPFN,2022-02-23 09:30:00,2022-02-24 09:30:00,40,253,0.1627867168777816,0.2969243672711736,0.225,0.15,0.1267605633802817,0.08108108108108109
FinPFN,2022-02-24 09:30:00,2022-02-25 09:30:00,10,249,0.2554209094442285,0.28188742611141987,0.0,0.0,0.0,0.0
FinPFN,2022-02-24 09:30:00,2022-02-25 09:30:00,20,249,0.2554209094442285,0.28188742611141987,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-24 09:30:00,2022-02-25 09:30:00,40,249,0.2554209094442285,0.28188742611141987,0.1,0.15,0.05263157894736842,0.08108108108108109
FinPFN,2022-02-25 09:30:00,2022-02-28 09:30:00,10,245,0.11625472260075564,0.30514401249221484,0.0,0.0,0.0,0.0
FinPFN,2022-02-25 09:30:00,2022-02-28 09:30:00,20,245,0.11625472260075564,0.30514401249221484,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-02-25 09:30:00,2022-02-28 09:30:00,40,245,0.11625472260075564,0.30514401249221484,0.05,0.125,0.02564102564102564,0.06666666666666667
FinPFN,2022-02-28 09:30:00,2022-03-01 09:30:00,10,261,0.06969917859625678,0.31667079529379244,0.0,0.0,0.0,0.0
FinPFN,2022-02-28 09:30:00,2022-03-01 09:30:00,20,261,0.06969917859625678,0.31667079529379244,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-02-28 09:30:00,2022-03-01 09:30:00,40,261,0.06969917859625678,0.31667079529379244,0.0,0.05,0.0,0.02564102564102564
FinPFN,2022-03-01 09:30:00,2022-03-02 09:30:00,10,266,0.14542472356426364,0.3076634236154211,0.0,0.0,0.0,0.0
FinPFN,2022-03-01 09:30:00,2022-03-02 09:30:00,20,266,0.14542472356426364,0.3076634236154211,0.05,0.05,0.02564102564102564,0.02564102564102564
FinPFN,2022-03-01 09:30:00,2022-03-02 09:30:00,40,266,0.14542472356426364,0.3076634236154211,0.15,0.125,0.08108108108108109,0.06666666666666667
FinPFN,2022-03-02 09:30:00,2022-03-03 09:30:00,10,254,0.1871035302172906,0.29403625053473337,0.0,0.0,0.0,0.0
FinPFN,2022-03-02 09:30:00,2022-03-03 09:30:00,20,254,0.1871035302172906,0.29403625053473337,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-03-02 09:30:00,2022-03-03 09:30:00,40,254,0.1871035302172906,0.29403625053473337,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-03-03 09:30:00,2022-03-04 09:30:00,10,260,0.1077762870866319,0.31381643221267874,0.0,0.0,0.0,0.0
FinPFN,2022-03-03 09:30:00,2022-03-04 09:30:00,20,260,0.1077762870866319,0.31381643221267874,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-03 09:30:00,2022-03-04 09:30:00,40,260,0.1077762870866319,0.31381643221267874,0.1,0.1,0.05263157894736842,0.05263157894736842
FinPFN,2022-03-04 09:30:00,2022-03-07 09:30:00,10,258,0.15353421081409496,0.3010250164572364,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-04 09:30:00,2022-03-07 09:30:00,20,258,0.15353421081409496,0.3010250164572364,0.05,0.2,0.02564102564102564,0.1111111111111111
FinPFN,2022-03-04 09:30:00,2022-03-07 09:30:00,40,258,0.15353421081409496,0.3010250164572364,0.075,0.25,0.03896103896103896,0.14285714285714285
FinPFN,2022-03-07 09:30:00,2022-03-08 09:30:00,10,267,0.18386945058436802,0.2826970416167136,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-07 09:30:00,2022-03-08 09:30:00,20,267,0.18386945058436802,0.2826970416167136,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-07 09:30:00,2022-03-08 09:30:00,40,267,0.18386945058436802,0.2826970416167136,0.05,0.075,0.02564102564102564,0.03896103896103896
FinPFN,2022-03-08 09:30:00,2022-03-09 09:30:00,10,276,0.11462564746507613,0.3052477737864211,0.0,0.0,0.0,0.0
FinPFN,2022-03-08 09:30:00,2022-03-09 09:30:00,20,276,0.11462564746507613,0.3052477737864211,0.05,0.0,0.02564102564102564,0.0
FinPFN,2022-03-08 09:30:00,2022-03-09 09:30:00,40,276,0.11462564746507613,0.3052477737864211,0.075,0.075,0.03896103896103896,0.03896103896103896
FinPFN,2022-03-09 09:30:00,2022-03-10 09:30:00,10,250,0.13475812412998608,0.30179965619628063,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-09 09:30:00,2022-03-10 09:30:00,20,250,0.13475812412998608,0.30179965619628063,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-03-09 09:30:00,2022-03-10 09:30:00,40,250,0.13475812412998608,0.30179965619628063,0.075,0.225,0.03896103896103896,0.1267605633802817
FinPFN,2022-03-10 09:30:00,2022-03-11 09:30:00,10,253,0.1550216302013632,0.2982134417147821,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-10 09:30:00,2022-03-11 09:30:00,20,253,0.1550216302013632,0.2982134417147821,0.05,0.15,0.02564102564102564,0.08108108108108109
FinPFN,2022-03-10 09:30:00,2022-03-11 09:30:00,40,253,0.1550216302013632,0.2982134417147821,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-03-11 09:30:00,2022-03-14 09:30:00,10,268,0.1303864537635119,0.3042890814803561,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-11 09:30:00,2022-03-14 09:30:00,20,268,0.1303864537635119,0.3042890814803561,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-11 09:30:00,2022-03-14 09:30:00,40,268,0.1303864537635119,0.3042890814803561,0.0,0.175,0.0,0.0958904109589041
FinPFN,2022-03-14 09:30:00,2022-03-15 09:30:00,10,282,0.06667922380812617,0.31735661596579423,0.1,0.0,0.05263157894736842,0.0
FinPFN,2022-03-14 09:30:00,2022-03-15 09:30:00,20,282,0.06667922380812617,0.31735661596579423,0.05,0.2,0.02564102564102564,0.1111111111111111
FinPFN,2022-03-14 09:30:00,2022-03-15 09:30:00,40,282,0.06667922380812617,0.31735661596579423,0.05,0.225,0.02564102564102564,0.1267605633802817
FinPFN,2022-03-15 09:30:00,2022-03-16 09:30:00,10,251,0.08084386264465945,0.3093289180938583,0.0,0.0,0.0,0.0
FinPFN,2022-03-15 09:30:00,2022-03-16 09:30:00,20,251,0.08084386264465945,0.3093289180938583,0.0,0.0,0.0,0.0
FinPFN,2022-03-15 09:30:00,2022-03-16 09:30:00,40,251,0.08084386264465945,0.3093289180938583,0.025,0.05,0.012658227848101266,0.02564102564102564
