model,seed,date,portfolio,gross_return_decimal,turnover_one_way,cost_rate_bps_per_one_way_turnover,transaction_cost_decimal,net_return_decimal,gross_compounded_wealth,net_compounded_wealth
FinPFN,42,2022-08-25 09:30:00,short,0.001262954581201531,0.8809523809523809,2,0.0001761904761904762,0.0010867641050110548,1.195686377574662,1.1638595808354562
FinPFN,42,2022-08-26 09:30:00,short,-8.508773233946901e-05,0.9285714285714274,2,0.00018571428571428547,-0.00027080201805375446,1.195584639332205,1.1635444053122348
FinPFN,42,2022-08-29 09:30:00,short,0.000830112647784626,0.8809523809523799,2,0.000176190476190476,0.00065392217159415,1.1965771092628115,1.1643052727965029
FinPFN,42,2022-08-30 09:30:00,short,-0.001240814362955718,0.8333333333333325,2,0.0001666666666666665,-0.0014074810296223845,1.195092379199254,1.1626665352123524
FinPFN,42,2022-08-31 09:30:00,short,0.000439476284246859,0.8292682926829265,2,0.0001658536585365853,0.0002736226257102737,1.195617593957396,1.1629846670825428
FinPFN,42,2022-09-01 09:30:00,short,0.001074399809040309,0.9523809523809521,2,0.00019047619047619043,0.0008839236185641184,1.196902165272029,1.1640126566978048
FinPFN,42,2022-09-02 09:30:00,short,0.002807244564497704,0.9047619047619037,2,0.00018095238095238074,0.0026262921835453236,1.2002621623697245,1.1670696940396381
FinPFN,42,2022-09-05 09:30:00,short,-0.0075319636801991245,0.849999999999999,2,0.0001699999999999998,-0.0077019636801991245,1.1912218313560385,1.1580809656438837
FinPFN,42,2022-09-06 09:30:00,short,0.005870252428331302,0.7906976744186048,2,0.00015813953488372096,0.005712112893447581,1.1982146042042376,1.1646960548593945
FinPFN,42,2022-09-07 09:30:00,short,0.0032853217615648224,0.8139534883720934,2,0.00016279069767441868,0.003122531063890404,1.2021511247184546,1.1683328544706837
FinPFN,42,2022-09-08 09:30:00,short,0.003049121563582115,0.8780487804878048,2,0.00017560975609756096,0.002873511807484554,1.2058166296355182,1.1716900727230772
FinPFN,42,2022-09-09 09:30:00,short,0.000256036047268005,0.8048780487804883,2,0.00016097560975609766,9.506043751190735e-05,1.2061253621591002,1.1718014540940185
FinPFN,42,2022-09-13 09:30:00,short,0.002498602517021411,0.8536585365853657,2,0.00017073170731707313,0.0023278708097043375,1.2091389900248344,1.174529256493773
FinPFN,42,2022-09-14 09:30:00,short,-0.000427597491301627,0.9024390243902436,2,0.0001804878048780487,-0.0006080852961796757,1.2086219652260648,1.1738150425229663
FinPFN,42,2022-09-15 09:30:00,short,0.00215719653916896,0.8048780487804883,2,0.00016097560975609766,0.0019962209294128626,1.211229200346614,1.1761582366781103
