model,seed,portfolio,cost_rate_bps_per_one_way_turnover,n_periods,average_turnover_one_way_including_initial,gross_mean_return_decimal,gross_annualized_volatility_decimal,gross_sharpe,gross_cumulative_arithmetic_return_decimal,gross_terminal_compounded_wealth,gross_maximum_drawdown,net_mean_return_decimal,net_annualized_volatility_decimal,net_sharpe,net_cumulative_arithmetic_return_decimal,net_terminal_compounded_wealth,net_maximum_drawdown,net_sharpe_rank
TabPFN,42,long_short,0,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,4
TabPFN,42,short,0,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,4
FinPFN,42,long,2,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,0.00028071646433781866,0.047087880327156495,1.430770528912973,0.08449565576568342,1.0866500044643885,-0.040159217176456985,3
FinPFN,42,long_short,2,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,0.0011226486835586682,0.08098880749204797,3.326826167684163,0.3379172537511591,1.3960387576189148,-0.04010380157227156,3
FinPFN,42,short,2,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,0.0008419322192208495,0.06531634898185927,3.093616464525969,0.2534215979854757,1.284865267300252,-0.03683784760900777,3
LightGBM,42,long,2,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,0.0005033695182391682,0.061176476388264484,1.9747571535613182,0.15151422498998962,1.1608354024783945,-0.020924802414738264,1
LightGBM,42,long_short,2,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,0.0014989311432635519,0.09024774076202524,3.986177064884782,0.45117827412232914,1.5616816376177558,-0.0426688162339699,2
LightGBM,42,short,2,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,0.0009955616250243837,0.06554803325384617,3.645186257237277,0.29966404913233946,1.3455918703582457,-0.031111094588201826,2
Ridge,42,long,2,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,0.0004086305353201115,0.06203655428108445,1.5808635668652808,0.12299779113135356,1.1281378069782944,-0.03655970882413773,2
Ridge,42,long_short,2,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,0.0015798689192537269,0.09205976907648633,4.118721396160234,0.47554054469537177,1.5998054631570326,-0.05355137529174192,1
Ridge,42,short,2,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,0.0011712383839336154,0.06605936796240956,4.2552210354786215,0.3525427535640182,1.4185225220254558,-0.02767395471513645,1
TabPFN,42,long,2,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.0014003378863824056,0.0649999859476513,-5.170479467525504,-0.4215017038011041,0.6541332058971495,-0.35623134164691317,4
TabPFN,42,long_short,2,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.002306228952804869,0.08967387062589074,-6.172310226044407,-0.6941749147942655,0.49657392450741533,-0.5190852917718662,4
TabPFN,42,short,2,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0009058910664224633,0.05914101284478578,-3.676194327479457,-0.27267321099316144,0.7595823282806655,-0.25876807960565196,4
FinPFN,42,long,5,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,5.27130357012394e-06,0.047077506642260056,0.026872979200943753,0.001586662374607306,1.0002023001227136,-0.05545310652636237,3
FinPFN,42,long_short,5,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,0.0005877544460989575,0.08098999154461345,1.7417098628297316,0.1769140882757862,1.1885911354264889,-0.04929267921845515,3
FinPFN,42,short,5,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,0.0005824831425288335,0.06532238347268834,2.14009267229769,0.1753274259011789,1.1884065727058761,-0.04179356567173098,3
LightGBM,42,long,5,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,0.0002738785632160867,0.061165391853364004,1.074641282924205,0.0824374475280421,1.0833843043281526,-0.033260965576738744,1
LightGBM,42,long_short,5,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,0.001033443028312002,0.09021940040888797,2.7491462553595754,0.3110663515219126,1.3577473710982753,-0.04689912379799077,2
LightGBM,42,short,5,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,0.0007595644650959152,0.06552795566408998,2.7819496240277113,0.22862890399387048,1.2534020535421841,-0.036414710328071975,2
Ridge,42,long,5,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,0.00018987555965252324,0.062030635910781826,0.7346391609163696,0.057152543455409495,1.0562682545216189,-0.04080044905918878,2
Ridge,42,long_short,5,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,0.0011362249636323245,0.09203913975683017,2.9628046501979766,0.3420037140533297,1.4000725759559536,-0.058398658808227366,1
Ridge,42,short,5,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,0.0009463494039798013,0.06607311730200174,3.4374624087589614,0.2848511705979202,1.3257701251033482,-0.029884310527322655,1
TabPFN,42,long,5,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.0016735887220321124,0.06497275704878477,-6.181995524464504,-0.5037502053316658,0.6024090328916559,-0.4050594398436269,4
TabPFN,42,long_short,5,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.002854376825973451,0.08963286788638035,-7.642848593241556,-0.8591674246180088,0.4208649912517212,-0.5895044253585273,4
TabPFN,42,short,5,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0011807881039413385,0.05913663257877687,-4.792108251487163,-0.3554172192863429,0.6992004049326598,-0.31277911243266554,4
FinPFN,42,long,10,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,-0.00045380396437603396,0.047062043066282,-2.3142418890921412,-0.13659499327718622,0.8710893376061593,-0.1394691294774707,3
FinPFN,42,long_short,10,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,-0.0003037359496672272,0.0809947138821154,-0.9000171051438332,-0.09142452084983539,0.9088823609216473,-0.10684762873939613,3
FinPFN,42,short,10,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,0.00015006801470880668,0.06533431231734255,0.5512619977566263,0.04517047242735081,1.0434169069192212,-0.0499993171510702,3
LightGBM,42,long,10,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,-0.00010860636182238238,0.061150865706183465,-0.4262495148083582,-0.0326905149085371,0.9655770626735403,-0.08153306033809349,1
LightGBM,42,long_short,10,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,0.00025762950339275223,0.09017766071212058,0.6856585137160246,0.07754648052121842,1.0751440366318017,-0.07686825359737448,2
LightGBM,42,short,10,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,0.00036623586521513453,0.06549747097289468,1.3419847567550693,0.1102369954297555,1.1135316159450472,-0.05877601202097682,2
Ridge,42,long,10,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,-0.0001747160664601237,0.06202532728035088,-0.6760440901972211,-0.052589536004497235,0.9464847751348097,-0.07266463198694606,2
Ridge,42,long_short,10,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,0.00039681837092998785,0.09201173132371993,1.0350463756423836,0.11944232964992635,1.1208962878072686,-0.06642693684885448,1
Ridge,42,short,10,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,0.0005715344373901114,0.06609993077289532,2.0751650322434743,0.17203186565442352,1.184422756025854,-0.04106248245097999,1
TabPFN,42,long,10,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.0021290067814482908,0.06492898836168265,-7.869545490240997,-0.6408310412159355,0.5251037487071694,-0.47837438006352373,4
TabPFN,42,long_short,10,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.0037679566145877546,0.08956661566826944,-10.096502818085476,-1.1341549409909142,0.31938882034313576,-0.6847718339766106,4
TabPFN,42,short,10,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0016389498331394645,0.059130788573289475,-6.652168344853673,-0.4933238997749788,0.6090098471571485,-0.3973073666664352,4
FinPFN,42,long,20,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,-0.0013719545002683498,0.04703797071987989,-7.000069837733101,-0.4129583045807733,0.6605861590830885,-0.3449112188592096,3
FinPFN,42,long_short,20,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,-0.0020867167411995967,0.08101446428015231,-6.181760532984193,-0.6281017391010786,0.5310623523165342,-0.47418562530087005,3
