model,prediction_percentile_bin,n_asset_dates,mean_prediction_rank,mean_prediction,mean_raw_return_decimal,median_raw_return_decimal,mean_realized_rank,mean_absolute_rank_error,mean_signed_prediction_return_decimal
FinPFN,16,3575,0.775,0.043027720819390214,0.01344505994965034,0.011158,0.5244836363636364,0.28587860139860144,0.01344505994965034
FinPFN,17,3575,0.825,0.0653055010053453,0.011591364128671316,0.010762,0.5179415384615385,0.3251574825174825,0.011591364128671316
FinPFN,18,3575,0.875,0.09188725214855342,0.01230084133146852,0.010471,0.5192696503496503,0.3632078321678322,0.01230084133146852
FinPFN,19,3575,0.925,0.1261274959939252,0.011804794679720267,0.009757,0.5176987412587413,0.40997090909090905,0.011804794679720267
FinPFN,20,3575,0.975,0.22169931696428286,0.01321654408951042,0.009929,0.510151888111888,0.4655261538461538,0.01321654408951042
LightGBM,1,3575,0.025,-3.8131205321132984,-0.013169269795804319,-0.024234,0.42955440559440555,0.4071132867132867,0.013169269795804319
LightGBM,2,3575,0.075,-2.0631346935647907,0.004523408050349577,0.000972,0.47919132867132863,0.4140777622377622,-0.004523408050349577
LightGBM,3,3575,0.125,-1.343590699751807,0.007919769773426533,0.004497,0.4914179020979021,0.38421146853146854,-0.007919769773426533
LightGBM,4,3575,0.175,-0.8980094690464554,0.0034357883356643136,0.004893,0.48669510489510487,0.3428962237762238,-0.0034357883356643136
LightGBM,5,3575,0.225,-0.5606725385684709,0.006583057706293684,0.00624,0.49603776223776225,0.3152704895104895,-0.006583057706293684
LightGBM,6,3575,0.275,-0.2791686948298912,0.009972249376223753,0.007553,0.5053781818181818,0.29446657342657345,-0.009972249376223753
LightGBM,7,3575,0.325,-0.018735841520655758,0.008959873493706269,0.006641,0.5019974825174826,0.2666702097902098,-0.009419601605594382
LightGBM,8,3575,0.375,0.22647621566650875,0.012112043843356618,0.00831,0.5104097902097902,0.2516827972027972,-0.01379853198881117
LightGBM,9,3575,0.425,0.45822772195035316,0.005184638718881103,0.005805,0.4916595804195804,0.2411793006993007,-0.007767304206992997
LightGBM,10,3575,0.475,0.6752548348571332,0.008926685247552435,0.007287,0.5005121678321678,0.23652867132867134,-0.0011238608223776193
LightGBM,11,3575,0.525,0.8722836296674868,0.013198593991608368,0.009661999999999999,0.5128081118881119,0.23664167832167832,0.006547903395804178
LightGBM,12,3575,0.575,1.056370880651738,0.010245824050349637,0.007937,0.5049043356643357,0.23934657342657342,0.009532625169230756
LightGBM,13,3575,0.625,1.2343764261505064,0.013388396072727245,0.011429,0.5151969230769231,0.24849958041958042,0.012958109639160813
LightGBM,14,3575,0.675,1.4172737013317547,0.014707612330069909,0.010452999999999999,0.5177916083916084,0.26079776223776224,0.014707612330069909
LightGBM,15,3575,0.725,1.6051335545916767,0.01415439996083914,0.010556000000000001,0.5174251748251748,0.2819278321678321,0.01415439996083914
LightGBM,16,3575,0.775,1.8078666374965442,0.012888318651748224,0.008526,0.5121552447552448,0.3113493706293706,0.012888318651748224
LightGBM,17,3575,0.825,2.047057706054175,0.014019934254545428,0.0103,0.5151946853146853,0.34176615384615383,0.014019934254545428
LightGBM,18,3575,0.875,2.3494794781474995,0.0113614815384615,0.006452,0.501568951048951,0.38999272727272727,0.0113614815384615
LightGBM,19,3575,0.925,2.807972902439757,0.017595333068531428,0.009615,0.5158637762237762,0.4164111888111888,0.017595333068531428
LightGBM,20,3575,0.975,4.491124150389606,0.016688037152447432,0.002187,0.4942374825174825,0.48226853146853144,0.016688037152447432
Ridge,1,3575,0.025,-1.256260845811217,-0.003628651239160885,-0.006102,0.46456531468531465,0.4412145454545454,0.003628651239160885
Ridge,2,3575,0.075,-0.5561675067381425,0.0004741345846153295,-0.001992,0.47112027972027976,0.4052,-0.0004741345846153295
Ridge,3,3575,0.125,-0.2153716110182809,0.004402338657342605,0.002065,0.4824041958041958,0.37846713286713285,-0.004402338657342605
Ridge,4,3575,0.175,0.029771506819691693,0.0020670799552447226,0.0038840000000000003,0.4826895104895105,0.34413034965034967,-0.0020670799552447226
Ridge,5,3575,0.225,0.22440978965559205,0.009107007351048914,0.005877,0.4966654545454545,0.3265476923076923,-0.009107007351048914
Ridge,6,3575,0.275,0.39057725784661884,0.008714637219580386,0.0054069999999999995,0.4962637762237762,0.2962758041958042,-0.008714637219580386
Ridge,7,3575,0.325,0.5392427410445847,0.008735554422377589,0.006,0.4947074125874126,0.27257846153846155,-0.008735554422377589
Ridge,8,3575,0.375,0.6777789654765096,0.011436954981818149,0.00755,0.5067941258741259,0.2619893706293706,-0.011436954981818149
Ridge,9,3575,0.425,0.80734308751313,0.009160069482517451,0.008786,0.5035890909090909,0.24591216783216782,-0.00931913130069927
Ridge,10,3575,0.475,0.9293046518972704,0.00894787336503493,0.006768,0.4998945454545455,0.23120839160839163,-0.005226284867132838
Ridge,11,3575,0.525,1.0507860854622368,0.012281608783216753,0.008649,0.5088344055944056,0.23827244755244753,0.008006058450349624
