model,seed,uncertainty_signal,uncertainty_quantile,n_asset_dates,mean_absolute_cross_sectional_z_error,mean_absolute_rank_error,mean_next_rank_instability,predicted_tail_count,tail_selection_precision
FinPFN,42,mean_median_disagreement,1,19274,1.0909173814641469,0.3315523326143407,0.30911568517321236,6489,0.07828633071351518
FinPFN,42,mean_median_disagreement,2,19360,0.8005868421781064,0.27857240678995304,0.2784975741948699,1618,0.13164400494437578
FinPFN,42,mean_median_disagreement,3,19390,0.8464487365769217,0.29266506433471584,0.2927096239962374,1373,0.12527312454479242
FinPFN,42,mean_median_disagreement,4,19360,0.9773625099242038,0.31984464998091894,0.31298497296169614,2193,0.12767897856817145
FinPFN,42,mean_median_disagreement,5,19475,1.4725755810165697,0.3715290619472792,0.3338190505462519,7694,0.22615024694567196
FinPFN,42,predictive_interval_width,1,19274,0.7665164719402375,0.27522986742881167,0.27062620019970446,2607,0.030303030303030304
FinPFN,42,predictive_interval_width,2,19360,0.8577410387603067,0.2954362449302574,0.2803792298091625,2670,0.05730337078651685
FinPFN,42,predictive_interval_width,3,19390,0.9476568499522647,0.3120132967677323,0.29884899551487115,2999,0.11103701233744581
FinPFN,42,predictive_interval_width,4,19360,1.0985899786798692,0.336374165658187,0.3209767667903877,3878,0.14827230531201652
FinPFN,42,predictive_interval_width,5,19475,1.5155336693798482,0.3748102756675101,0.3556145528581701,7213,0.24580618328018855
FinPFN,42,predictive_std,1,19274,0.7831169901033622,0.2762913802850693,0.26646942944283275,2814,0.03447050461975835
FinPFN,42,predictive_std,2,19360,0.8495565439563657,0.2938188015063523,0.28327442451649243,2559,0.05822586948026573
FinPFN,42,predictive_std,3,19390,0.9425865171751696,0.31265195768098764,0.2996020542844108,2800,0.10214285714285715
FinPFN,42,predictive_std,4,19360,1.08552998056691,0.3344821713580412,0.3240124311424725,3755,0.14860186418109186
FinPFN,42,predictive_std,5,19475,1.5252717309122226,0.3766125596437922,0.3529845449419725,7439,0.24505981986826186
TabPFN,42,total_member_sd,1,19274,0.748100354255222,0.2889474257337591,0.2904273429132322,1113,0.07097933513027853
TabPFN,42,total_member_sd,2,19360,0.8520686976007785,0.31200717561219565,0.3128713857844669,2062,0.09747817652764307
TabPFN,42,total_member_sd,3,19390,0.9574607239110837,0.33045228996637166,0.3280804260885691,3178,0.11516677155443675
TabPFN,42,total_member_sd,4,19360,1.064235103552149,0.3465597080908202,0.3374830850947781,4383,0.13483915126625598
TabPFN,42,total_member_sd,5,19475,1.4999223458687085,0.3955337665208436,0.3843300266841751,8631,0.16904182597613254
TabPFN,42,within_group_ensemble_sd,1,19274,0.7082621584826606,0.2798043917793852,0.2827040635849514,833,0.06722689075630252
TabPFN,42,within_group_ensemble_sd,2,19360,0.7903674207896524,0.2987144761326746,0.3001597098731649,1357,0.079587324981577
TabPFN,42,within_group_ensemble_sd,3,19390,0.8941077169674194,0.3227830257572917,0.3209894301928665,2416,0.10596026490066225
TabPFN,42,within_group_ensemble_sd,4,19360,1.0765707432970644,0.354571934055958,0.3466254937954002,4536,0.12213403880070546
TabPFN,42,within_group_ensemble_sd,5,19475,1.6515000056150413,0.4174675193675251,0.4025497636474267,10225,0.16841075794621027
TabPFN,42,ensemble_mad,1,19274,0.7342580929343803,0.2850378319451516,0.2896220805989031,1044,0.07567049808429119
TabPFN,42,ensemble_mad,2,19360,0.7995945834971254,0.29905453835735957,0.29853945903154794,1555,0.09131832797427653
TabPFN,42,ensemble_mad,3,19390,0.9010638412485172,0.32280557921610664,0.32011200473741885,2463,0.11896061713357693
TabPFN,42,ensemble_mad,4,19360,1.069632127405188,0.3532951863043045,0.34475261191164025,4353,0.12703882379967837
TabPFN,42,ensemble_mad,5,19475,1.6165715765119408,0.4131967925115923,0.4001462413870002,9952,0.16368569131832797
TabPFN,42,ensemble_iqr,1,19274,0.7282277225204989,0.283635288197514,0.2875106453966088,996,0.06726907630522089
TabPFN,42,ensemble_iqr,2,19360,0.8009235722067737,0.3005854313191551,0.3005840129048859,1535,0.08925081433224756
TabPFN,42,ensemble_iqr,3,19390,0.8987791595485135,0.3221747041223582,0.31984736756326937,2396,0.11143572621035058
TabPFN,42,ensemble_iqr,4,19360,1.074666701469247,0.3542378567617043,0.3456747415623193,4443,0.12604096331307674
TabPFN,42,ensemble_iqr,5,19475,1.6184884320817097,0.4127540252953728,0.3994776335274246,9997,0.16654996498949684
TabPFN,42,member_rank_disagreement,1,19274,1.7089675412249417,0.4311943137724895,0.41778356887867485,12725,0.13948919449901767
TabPFN,42,member_rank_disagreement,2,19360,0.9083602792954951,0.334345873976878,0.3375237622399959,3153,0.12686330478908975
TabPFN,42,member_rank_disagreement,3,19390,0.8163791436869441,0.3056605764237423,0.30207008127686963,1472,0.12839673913043478
TabPFN,42,member_rank_disagreement,4,19360,0.8115840228869422,0.29861016801377155,0.29624336667603945,969,0.15170278637770898
TabPFN,42,member_rank_disagreement,5,19475,0.8846380110271357,0.3048981157421275,0.30212821701271897,1048,0.1765267175572519
TabPFN,42,group_composition_sd,1,19274,1.0467585987214556,0.3385974085971625,0.3331602573857312,4208,0.1318916349809886
TabPFN,42,group_composition_sd,2,19360,1.0763236163193213,0.3407208153271311,0.33874005725383227,4335,0.1301038062283737
TabPFN,42,group_composition_sd,3,19390,1.0418774772254047,0.33802340769395023,0.3348231550841855,4082,0.13400293973542382
TabPFN,42,group_composition_sd,4,19360,0.8291712085867249,0.3040202753494245,0.30155990809249417,1537,0.1210149642160052
TabPFN,42,group_composition_sd,5,19475,1.1310433692080022,0.35260229594550513,0.3456707473965859,5205,0.16215177713736792
