model,seed,uncertainty_signal,requested_coverage,realized_coverage,n_asset_dates,n_dates,mean_ic,ic_std_ddof1,ir,gross_long_short_mean_return_decimal,gross_long_short_sharpe,average_total_one_way_turnover_including_initial,fixed_cost_bps,net_long_short_mean_return_decimal,net_long_short_sharpe,mean_long_positions,mean_short_positions
FinPFN,42,ensemble_mad,0.8,0.7989345337036311,77384,242,0.05226790298536377,0.07001519828551721,0.7465222446734896,0.002124044967257608,4.712774126447382,1.838266587020644,10,0.00028577838023696424,0.6343892723989364,31.53305785123967,32.40495867768595
FinPFN,42,ensemble_mad,0.6,0.5990563602762778,58024,242,0.05448817743326757,0.077938352273059,0.6991189298224687,0.0021872520130103183,4.432392293117476,1.877621156840525,10,0.00030963085616979297,0.6275963112073005,23.541322314049587,24.40909090909091
FinPFN,42,ensemble_mad,0.4,0.3988684582743989,38634,242,0.05925378213741674,0.08644553202845211,0.6854464394749095,0.0028273055586397083,5.168538507268958,1.9212050315994167,10,0.0009061005270402914,1.6565658630760924,15.52892561983471,16.367768595041323
FinPFN,42,ensemble_mad,0.2,0.1989902848470457,19274,242,0.055401571536417775,0.12199188969743176,0.4541414324659332,0.002361759628887078,2.9689856982088187,1.9645070838252656,10,0.00039725254506181226,0.49906044342453415,7.537190082644628,8.289256198347108
FinPFN,42,ensemble_iqr,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,ensemble_iqr,0.8,0.7989345337036311,77384,242,0.05569816496958029,0.07007537018551338,0.794832261636696,0.002365945741764987,5.190954069646045,1.83686307240232,10,0.0005290826693626672,1.1614865241400336,31.53305785123967,32.40495867768595
FinPFN,42,ensemble_iqr,0.6,0.5990563602762778,58024,242,0.05515648285510171,0.08123521733516376,0.6789725523541683,0.002294040724798328,4.251872160597539,1.8796402609248468,10,0.00041440046387348155,0.7677646606489186,23.541322314049587,24.40909090909091
FinPFN,42,ensemble_iqr,0.4,0.3988684582743989,38634,242,0.06019105968672624,0.08686709420849709,0.6929097863254936,0.002846963856570019,4.854098399437598,1.9238545211473022,10,0.0009231093354227169,1.5739093177794266,15.52892561983471,16.367768595041323
FinPFN,42,ensemble_iqr,0.2,0.1989902848470457,19274,242,0.05714938984034094,0.1257752651051739,0.45437701755231713,0.0027201725429363073,3.3736869597985395,1.9586284927194015,10,0.0007615440502169057,0.9439659256062665,7.537190082644628,8.289256198347108
FinPFN,42,member_rank_disagreement,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,member_rank_disagreement,0.8,0.7989345337036311,77384,242,0.056616329596008624,0.0732152489920638,0.7732860350190924,0.0024074966532475366,4.892718859368508,1.8108723769918036,10,0.0005966242762557338,1.2130588330933818,31.53305785123967,32.40495867768595
FinPFN,42,member_rank_disagreement,0.6,0.5990563602762778,58024,242,0.06269753235445674,0.08622284156843665,0.7271568787801149,0.0027250241897853688,4.648967539165679,1.8392368731400357,10,0.0008857873166453329,1.5124786459534254,23.541322314049587,24.40909090909091
FinPFN,42,member_rank_disagreement,0.4,0.3988684582743989,38634,242,0.07009434950851928,0.10205159190081738,0.6868520931711,0.002457774146889913,3.5311290215299267,1.8632261789013127,10,0.0005945479679886003,0.8551621841952047,15.52892561983471,16.367768595041323
FinPFN,42,member_rank_disagreement,0.2,0.1989902848470457,19274,242,0.07849156965645916,0.13942357949913506,0.5629719875105208,0.00186162784270583,1.7658032212669388,1.8948330709694345,10,-3.320522826360447e-05,-0.03150716242200959,7.537190082644628,8.289256198347108
FinPFN,42,group_composition_sd,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,group_composition_sd,0.8,0.7989345337036311,77384,242,0.049996784855910574,0.0690337293778634,0.72423705493655,0.0023616791633544305,5.324519063834704,1.8393913004660427,10,0.0005222878628883873,1.178271638539483,31.53305785123967,32.40495867768595
FinPFN,42,group_composition_sd,0.6,0.5990563602762778,58024,242,0.04767091282089121,0.07771563376157027,0.6134018409621987,0.0024499788864940013,5.029481285035323,1.8809839041064345,10,0.0005689949823875672,1.1683540784215884,23.541322314049587,24.40909090909091
FinPFN,42,group_composition_sd,0.4,0.3988684582743989,38634,242,0.04832595850080256,0.09151678669454552,0.5280556742240037,0.0029947833377606376,5.159664874314413,1.8916504618376278,10,0.0011031328759230092,1.900827869428748,15.52892561983471,16.367768595041323
FinPFN,42,group_composition_sd,0.2,0.1989902848470457,19274,242,0.04353081575076611,0.12706246114194242,0.3425938342413934,0.0017257658074060613,2.1237206307320706,1.8974321133412042,10,-0.000171666305935143,-0.21133774830988514,7.537190082644628,8.289256198347108
FinPFN,42,mean_median_disagreement,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,mean_median_disagreement,0.8,0.7989345337036311,77384,242,0.03964593518467712,0.07024299542189245,0.5644112262946118,0.0023567154860669828,6.32664047194494,1.8573997201459282,10,0.0004993157659210548,1.340278027738828,31.53305785123967,32.40495867768595
FinPFN,42,mean_median_disagreement,0.6,0.5990563602762778,58024,242,0.03446280018754163,0.07912791128524782,0.4355327927626808,0.002605144446468842,6.172755647589564,1.8694684531542245,10,0.0007356759933146176,1.7455155116433947,23.541322314049587,24.40909090909091
FinPFN,42,mean_median_disagreement,0.4,0.3988684582743989,38634,242,0.035999348407374704,0.08879961291230735,0.40539983482726766,0.002535664727736513,5.204625955162976,1.886285650623886,10,0.0006493790771126268,1.3329862348935237,15.52892561983471,16.367768595041323
FinPFN,42,mean_median_disagreement,0.2,0.1989902848470457,19274,242,0.036689914202189144,0.12325018021041419,0.2976864953832253,0.0026327693901721156,4.312160808742857,1.9286862127771218,10,0.0007040831773949942,1.1526902776117798,7.537190082644628,8.289256198347108
FinPFN,42,predictive_interval_width,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
