model,date,n_assets,ic,bottom_decile_return_decimal,top_decile_return_decimal,long_short_return_decimal,mean_ic_contribution,long_short_arithmetic_contribution_decimal,long_short_share_of_total,leave_one_date_out_mean_ic,leave_one_date_out_long_short_sharpe
TabPFN,2022-05-24 09:30:00,404,-0.10030112047228486,1.766335357574481e-05,0.0009218956974630963,0.0009042323438873516,-0.00033322631386141147,0.0009042323438873516,-0.0015478662157411352,-0.03754977078701218,-5.211441670869378
TabPFN,2022-05-25 09:30:00,412,-0.02686403922705313,-0.003214083339361438,-0.0008311128022696802,0.002382970537091758,-8.924929975765159e-05,0.002382970537091758,-0.004079172363613608,-0.03779456105782962,-5.227379922147572
TabPFN,2022-05-26 09:30:00,420,-0.13156249883584378,0.0035217130733044785,-0.0038006186204364743,-0.007322331693740953,-0.0004370847137403448,-0.007322331693740953,0.012534377835310175,-0.03744556619246698,-5.143526683652084
TabPFN,2022-05-27 09:30:00,387,-0.003102785716275579,-0.004407226862944443,-0.00033254832247682015,0.004074678540467623,-1.0308258193606574e-05,0.004074678540467623,-0.006975040536241821,-0.03787376523619888,-5.247044328937872
TabPFN,2022-05-30 09:30:00,407,0.067382560764331,-0.007821522593778763,-0.005970954906692543,0.0018505676870862204,0.00022386232812070098,0.0018505676870862204,-0.0031678044057444395,-0.03810871639113424,-5.2215080142946775
TabPFN,2022-05-31 09:30:00,403,0.012989748901817684,-0.00013966831308514496,0.0029770030003773698,0.0031166713134625147,4.315531196617171e-05,0.0031166713134625147,-0.005335122398894381,-0.03792740701825919,-5.235719705261588
TabPFN,2022-06-01 09:30:00,409,0.013800157907021621,-0.0014757620733998622,0.002633403108327244,0.004109165181727106,4.5847700687779476e-05,0.004109165181727106,-0.0070340748179292594,-0.03793010838160987,-5.247461239275086
TabPFN,2022-06-02 09:30:00,401,0.04940041196021618,-0.007220969400342629,0.008093507389937166,0.015314476790279793,0.0001641209699674956,0.015314476790279793,-0.026215343208712903,-0.03804877589512052,-5.4187183218092345
TabPFN,2022-06-06 09:30:00,407,0.015528044281633896,-0.005525089846504442,-0.006016558928129187,-0.0004914690816247456,5.1588186982172416e-05,-0.0004914690816247456,0.0008412974747815888,-0.03793586800285858,-5.1974551392175306
TabPFN,2022-06-07 09:30:00,389,-0.1224934860872067,0.008913176379662678,-0.006808373866058322,-0.015721550245721,-0.00040695510327975646,-0.015721550245721,0.026912172130241663,-0.037475796234962444,-5.109942169165772
TabPFN,2022-06-08 09:30:00,403,0.007647730625200666,0.0014102276017937008,0.004184948946208855,0.0027747213444151543,2.5407742940866e-05,0.0027747213444151543,-0.004749771954243537,-0.03790960029067046,-5.231797024583747
TabPFN,2022-06-09 09:30:00,395,-0.0884469185121865,0.002045593599870111,-0.008233789820241047,-0.010279383420111157,-0.0002938435830969651,-0.010279383420111157,0.017596263197395445,-0.03758928479354584,-5.127576963370056
TabPFN,2022-06-10 09:30:00,395,-0.10841653223416943,0.005034990546761947,-0.009547193516044668,-0.014582184062806616,-0.0003601878147314599,-0.014582184062806616,0.024961803473542942,-0.03752271941447256,-5.112365431987299
TabPFN,2022-06-13 09:30:00,396,-0.03641374387385022,-0.0074626698225591665,-0.003798976411760162,0.0036636934107990046,-0.00012097589326860538,0.0036636934107990046,-0.006271515605192357,-0.03776272870900696,-5.242125444385041
TabPFN,2022-06-14 09:30:00,373,-0.08706224747437025,0.0013502986710148554,-0.00016450841884946548,-0.0015148070898643208,-0.00028924334709093104,-0.0015148070898643208,0.0025930489366107336,-0.0375939003636719,-5.187846168257167
TabPFN,2022-06-15 09:30:00,402,-0.13332604933663014,0.002705636044599201,-0.005041180330543146,-0.007746816375142347,-0.0004429436855037546,-0.007746816375142347,0.013261011318266753,-0.0374396876907977,-5.140963170788415
TabPFN,2022-06-16 09:30:00,406,0.029594422201614536,-0.001024358891547804,-0.00019620288853186793,0.0008281560030159362,9.832033954024762e-05,0.0008281560030159362,-0.0014176386269492657,-0.03798275592925852,-5.210652959417202
TabPFN,2022-06-17 09:30:00,399,-0.03308705665579018,-0.0017992753489358907,-0.007004501446181766,-0.005205226097245875,-0.00010992377626508366,-0.005205226097245875,0.008910313456144965,-0.0377738176664005,-5.157683441483018
TabPFN,2022-06-20 09:30:00,402,0.0787520201886525,-0.007070386171906872,-0.002522952429301994,0.004547433742604879,0.00026163461856695185,0.004547433742604879,-0.007784303565429917,-0.038146614589215304,-5.252815708852152
TabPFN,2022-06-21 09:30:00,410,-0.15218551621798196,0.002583276852261407,-0.011460104550754175,-0.014043381403015583,-0.0005055997216544252,-0.014043381403015583,0.024039480312156556,-0.03737682280119319,-5.113746985992073
TabPFN,2022-06-22 09:30:00,408,-0.06783402578996385,-0.00083488646966241,-0.003402254294114866,-0.002567367824452456,-0.0002253622119267902,-0.002567367824452456,0.004394823903076226,-0.03765799443595325,-5.178529068475215
TabPFN,2022-06-23 09:30:00,398,-0.1401936961665721,0.0014232484573018583,-0.002793947725952685,-0.004217196183254543,-0.00046575978792881095,-0.004217196183254543,0.007219002440400846,-0.03741679553469789,-5.1650734624997865
TabPFN,2022-06-24 09:30:00,398,-0.04538357146554926,0.0023661706529872666,-0.005706351326826286,-0.008072521979813552,-0.0001507759849353796,-0.008072521979813552,0.013818554636813323,-0.0377328292837013,-5.13905843182166
TabPFN,2022-06-27 09:30:00,404,-0.06085448791450631,0.0014160285551309837,-0.008319786157862366,-0.00973581471299335,-0.00020217437845350934,-0.00973581471299335,0.016665781509398493,-0.03768125956220478,-5.130174367927341
TabPFN,2022-06-28 09:30:00,409,0.01034246354601194,0.005009627730816219,0.002158401259466698,-0.002851226471349521,3.4360344006684185e-05,-0.002851226471349521,0.004880733539629435,-0.03791858273373984,-5.176114307077071
TabPFN,2022-06-29 09:30:00,410,-0.04638891200754043,0.003125180813700949,-0.0005228906320173175,-0.0036480714457182667,-0.00015411598673601473,-0.0036480714457182667,0.006244773903089547,-0.037729478148561334,-5.169557159406109
TabPFN,2022-06-30 09:30:00,405,-0.0382858236777797,0.0017021672809039634,0.001982796025268614,0.00028062874436465043,-0.00012719542750092922,0.00028062874436465043,-0.00048038068479223966,-0.03775648844299386,-5.205066288536448
TabPFN,2022-07-01 09:30:00,390,-0.039208520556362786,0.000739095878635677,0.0011241713784745293,0.0003850754998388523,-0.00013026086563575678,0.0003850754998388523,-0.0006591727897586079,-0.03775341278673192,-5.206119857936442
TabPFN,2022-07-04 09:30:00,414,-0.02848750982512212,-0.00043089518126363083,-0.0074039989733954426,-0.006973103792131812,-9.464288978445887e-05,-0.006973103792131812,0.011936569015321424,-0.03778914948916939,-5.145704539272681
TabPFN,2022-07-05 09:30:00,408,-0.06448820962959323,0.004102644250176823,0.0023279773975210674,-0.0017746668526557553,-0.00021424654361991107,-0.0017746668526557553,0.0030378772491284683,-0.03766914715648782,-5.185492671010733
TabPFN,2022-07-06 09:30:00,384,-0.1253856919464235,0.0013535796781904655,-0.003899660259934526,-0.005253239938124992,-0.00041656376061934713,-0.005253239938124992,0.008992503617431669,-0.037466155548765055,-5.157337036319571
TabPFN,2022-07-07 09:30:00,405,-0.09346212402034174,0.007144158146694837,0.001047679638009541,-0.006096478508685296,-0.00031050539541641774,-0.006096478508685296,0.010435960605011783,-0.037572567441851994,-5.1514451790145595
TabPFN,2022-07-08 09:30:00,398,-0.07358923355672958,-0.0037320719157231015,-0.002219699267695161,0.0015123726480279404,-0.0002444825035107295,0.0015123726480279404,-0.0025888816556035974,-0.03763881041006403,-5.217856196600555
TabPFN,2022-07-11 09:30:00,411,-0.06302290097758266,0.005020577175574936,-0.0016975490439342074,-0.006718126219509143,-0.00020937840856339755,-0.006718126219509143,0.0115000980428968,-0.03767403151866119,-5.147333880247014
TabPFN,2022-07-12 09:30:00,407,0.045488748269146166,-0.00023572420263168612,-0.00035244768252847654,-0.00011672347989679041,0.00015112540953204706,-0.00011672347989679041,0.00019980741934009987,-0.03803573701615029,-5.20111036468145
TabPFN,2022-07-13 09:30:00,401,-0.07615734913207248,0.005226942030132913,-0.005886267025755433,-0.011113209055888345,-0.0002530144489437624,-0.011113209055888345,0.019023607109790563,-0.037630250024812885,-5.1238860491149465
