date,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,long_short,model,seed,return_basis
2012-02-29,2.469058,3.5587940000000002,3.392648,2.1800740000000003,4.074514000000001,4.663936,7.338578,6.3295259999999995,2.142262,1.358064,-1.110994,LightGBM,42,raw
2012-03-31,-2.7834719999999997,5.0116000000000005,2.9468259999999997,1.9548964399999895,-0.45295,0.38458000000000014,2.777466,2.663062,2.641496,0.6883940000000002,3.471866,LightGBM,42,raw
2012-04-30,-0.7335675600000106,-0.8948939999999999,-0.7043759999999998,-0.3407515600000107,0.03399999999999991,-1.2600479999999998,-1.8700059999999998,-1.081396,-1.3552315600000109,-3.583406,-2.8498384399999894,LightGBM,42,raw
2012-05-31,-16.685192,-9.048152,-7.259814,-4.266973560000011,-6.736998,-5.751318,-5.571021999999999,-7.817913999999999,-7.851351999999999,-5.813024,10.872168,LightGBM,42,raw
2012-06-30,3.76529,2.6700720000000002,2.665936,2.121974,3.649094,4.564676,3.315952,3.389266,5.616762,2.7448580000000002,-1.0204319999999996,LightGBM,42,raw
2012-07-31,-2.44554,3.1625900000000002,2.30492,0.06848599999999998,-0.9549199999999999,-0.005994000000000099,-0.830438,-2.26565,0.7778060000000001,2.789086439999989,5.234626439999989,LightGBM,42,raw
2012-08-31,-0.7815460000000001,7.0337364399999895,2.352536,0.018596000000000005,-1.091338,1.4432040000000002,4.450172,2.770452,6.59284043999999,1.609854,2.3914,LightGBM,42,raw
2012-09-30,8.052356879999978,4.398248,3.414618,3.206248,3.3432619999999997,3.466728,3.926808439999989,4.326112,2.179612,0.015702000000000035,-8.036654879999979,LightGBM,42,raw
2012-10-31,-9.363809999999999,-2.0110919999999997,-3.7840059999999998,-3.7958480000000003,-2.4763979999999997,-0.7803340000000002,0.030467999999999905,0.08418200000000002,-0.3083179999999999,-0.03043199999999982,9.333378,LightGBM,42,raw
2012-11-30,-2.5528395600000113,0.09950399999999991,0.7096620000000001,0.973148,-1.270154,0.5437679999999999,0.047814000000000016,2.286354,1.6679944399999895,2.539028,5.091867560000011,LightGBM,42,raw
2012-12-31,2.632296,4.792494439999989,1.403172,2.1137400000000004,1.194248,0.5933120000000001,2.709396,5.053688,1.808414,1.2542960000000003,-1.378,LightGBM,42,raw
2013-01-31,4.7921879999999994,6.018272439999989,6.171588000000001,5.3518,5.500056,8.606446879999979,6.03025,4.63795,7.34275,11.16171243999999,6.36952443999999,LightGBM,42,raw
2013-02-28,2.480578879999978,0.2712984399999892,2.981096,-0.8851739999999999,1.7580859999999998,1.939494,-2.4079099999999998,0.07803799999999995,2.207452,0.7747864399999891,-1.705792439999989,LightGBM,42,raw
2013-03-31,2.79983,3.3019460000000005,1.010030439999989,0.508528,2.965792,3.554688,2.4821619999999998,4.529966,4.7733039999999995,6.151638439999989,3.3518084399999886,LightGBM,42,raw
2013-04-30,2.909628439999989,1.279294,2.108994,0.2823419999999999,-0.807108,1.7359560000000003,1.27346,-0.09936556000001072,1.1203504399999893,-0.9969020000000002,-3.9065304399999894,LightGBM,42,raw
2013-05-31,-0.782712,1.0423619999999998,1.399954,0.681082,4.057794,4.844302,6.066758,7.793483759999957,4.262790439999989,2.9260324399999895,3.7087444399999896,LightGBM,42,raw
2013-06-30,-6.446756000000001,-2.491072,1.746594,-0.3608799999999999,-0.1903200000000001,-0.5958319999999999,0.4574839999999999,-1.5330219999999999,-0.0076840000000000415,-0.7559200000000001,5.690836000000001,LightGBM,42,raw
2013-07-31,5.396502439999989,4.162106,2.323124,3.866812,4.8009640000000005,5.938566000000001,5.1087739999999995,6.085892,5.722532,9.985644439999989,4.589142,LightGBM,42,raw
2013-08-31,0.8501464399999893,-1.6505655600000104,0.1362360000000001,-0.966182,-1.901748,-0.3992779999999999,-2.012996,-1.118784,-1.6080759999999998,-1.986508,-2.836654439999989,LightGBM,42,raw
2013-09-30,5.618022439999989,3.163954,3.9298384399999895,5.7786904399999885,4.141578,5.005032,3.057374,7.919638,5.916988,6.761130439999989,1.1431079999999998,LightGBM,42,raw
2013-10-31,0.07806199999999999,1.4568480000000001,1.038952,2.6588060000000002,3.4574119999999997,3.827726,3.5445459999999995,4.309718,5.394756439999989,2.3252964399999896,2.2472344399999895,LightGBM,42,raw
2013-11-30,3.507914,-0.38718600000000003,2.313454,5.2085300000000005,2.873378,3.7185699999999997,3.2272719999999997,5.23309,3.762088,3.937200879999978,0.42928687999997805,LightGBM,42,raw
2013-12-31,5.83898243999999,2.1059340000000004,2.515414,2.054116439999989,1.212906,0.609266,3.222128,2.03404,2.8451839999999997,2.7658500000000004,-3.0731324399999895,LightGBM,42,raw
2014-01-31,4.703072439999989,-0.9188239999999999,2.49242,1.896404,-3.171416,-0.969858,-4.54226,-1.4131719999999999,-2.803338,3.0207644399999896,-1.6823079999999995,LightGBM,42,raw
2014-02-28,6.79024,5.08007,7.514606,5.01276243999999,4.023356,5.814826,4.16527,5.013176,6.276366439999989,9.43103243999999,2.6407924399999905,LightGBM,42,raw
2014-03-31,-2.489765560000011,0.8125399999999999,-2.154188,1.499948,-1.346224,2.0033760000000003,-0.7786559999999999,0.09217800000000004,2.309602,2.626954,5.116719560000011,LightGBM,42,raw
2014-04-30,-4.530454,-1.002611560000011,-1.837012,-0.36584399999999995,-1.922644,-1.39166,-2.096572,-2.21297,-1.7017559999999998,-9.220754000000001,-4.6903000000000015,LightGBM,42,raw
2014-05-31,-3.9921339999999996,-0.597146,1.2867920000000002,1.88221,1.26988,0.735804,2.08694,2.286462439999989,-0.639648,1.118086,5.11022,LightGBM,42,raw
2014-06-30,6.35100243999999,1.109182,5.076862,3.061146,3.788358,6.788098,3.65946,3.7667219999999997,5.091086,4.542974439999989,-1.8080280000000002,LightGBM,42,raw
2014-07-31,-8.154295999999999,-5.464948000000001,-2.22894,-5.069065999999999,-4.574732,-3.6774380000000004,-2.0116639999999997,-1.5215100000000001,-4.223612,-5.032398,3.121897999999999,LightGBM,42,raw
2014-08-31,0.9363764399999894,2.540446,2.19507,1.52989,4.543566,4.887294,3.487868,4.422242,4.7834564399999895,5.840556,4.904179560000011,LightGBM,42,raw
2014-09-30,-4.511723560000011,-4.246016,-4.180302,-4.343314,-2.247286,-5.238138,-4.417874,-3.218138,-5.657819999999999,-5.252082000000001,-0.7403584399999898,LightGBM,42,raw
2014-10-31,0.926328,-2.011858,3.8690339999999996,2.488878,0.22788799999999995,-0.5082679999999999,2.1448139999999998,4.1165140000000005,1.0541440000000002,1.5523840000000002,0.6260560000000002,LightGBM,42,raw
2014-11-30,-3.4447735600000104,-3.3932519999999995,-0.6483840000000001,0.260496,1.1590319999999998,0.9585719999999999,0.5121439999999999,-1.329336,0.988104,0.9384659999999999,4.3832395600000105,LightGBM,42,raw
2014-12-31,-1.5170215600000108,-0.236312,0.945524,0.30618199999999995,0.9884199999999999,1.6056300000000001,0.5270760000000001,1.356514439999989,-1.8005959999999999,-1.261692,0.2553295600000107,LightGBM,42,raw
2015-01-31,-4.306128,-9.397498,-0.30274956000001074,-3.8597179999999995,-1.6614115600000108,-1.15612,-1.272186,-1.3419619999999997,-1.2757175600000108,-1.1307479999999999,3.1753800000000005,LightGBM,42,raw
2015-02-28,9.845686439999989,6.96012443999999,4.077548,6.233138,2.58456,3.752344,6.55506,4.655116,8.561144439999989,7.054278,-2.791408439999989,LightGBM,42,raw
2015-03-31,-0.4247751200000216,-0.19110200000000005,0.8096360000000001,0.13203399999999996,-0.3486279999999999,-0.6860440000000001,0.19963,-0.061183999999999995,2.046806,0.7763908799999787,1.2011660000000002,LightGBM,42,raw
2015-04-30,-0.7607039999999999,2.776880439999989,0.171484,0.3237839999999999,-2.8322860000000003,0.27892800000000006,0.13766600000000004,3.9045384399999894,1.049940439999989,0.936248,1.696952,LightGBM,42,raw
2015-05-31,-5.3656880000000005,-5.550612,1.075848,0.11949,1.84966,-0.507472,0.20884399999999992,0.321604,0.3185060000000001,3.639474439999989,9.005162439999989,LightGBM,42,raw
2015-06-30,-4.784268,-0.9568439999999999,1.5634040000000002,-0.7283135600000109,0.3221919999999999,-0.583184,1.4851364399999891,-1.992964,-2.4641859999999998,-0.13762756000001075,4.646640439999989,LightGBM,42,raw
2015-07-31,-7.154204,-3.066794,-0.95609,-4.243054,-2.3543999999999996,-2.2489600000000003,-2.19741,-2.6096820000000003,0.15343600000000002,-3.2205,3.933704,LightGBM,42,raw
