model,seed,uncertainty_signal,requested_coverage,realized_coverage,n_asset_dates,n_dates,mean_ic,ic_std_ddof1,ir,gross_long_short_mean_return_decimal,gross_long_short_sharpe,average_total_one_way_turnover_including_initial,fixed_cost_bps,net_long_short_mean_return_decimal,net_long_short_sharpe,mean_long_positions,mean_short_positions
TabPFN,42,ensemble_iqr,0.8,0.7916666666666666,38,1,0.1465149359886202,,,0.02501418242614741,,2.0,10,0.02301418242614741,,3.0,4.0
TabPFN,42,ensemble_iqr,0.6,0.5833333333333334,28,1,0.14395183360700603,,,0.01841189227850136,,2.0,10,0.016411892278501358,,2.0,3.0
TabPFN,42,ensemble_iqr,0.4,0.3958333333333333,19,1,0.243859649122807,,,0.015816559001367483,,2.0,10,0.013816559001367483,,1.0,2.0
TabPFN,42,ensemble_iqr,0.2,0.20833333333333334,10,1,0.3939393939393939,,,0.02206939344228497,,2.0,10,0.02006939344228497,,1.0,1.0
TabPFN,42,member_rank_disagreement,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,member_rank_disagreement,0.8,0.7916666666666666,38,1,0.13385137674277758,,,0.027686050148355276,,2.0,10,0.025686050148355274,,3.0,4.0
TabPFN,42,member_rank_disagreement,0.6,0.5833333333333334,28,1,0.16265062680033673,,,0.010639557788151715,,2.0,10,0.008639557788151715,,2.0,3.0
TabPFN,42,member_rank_disagreement,0.4,0.3958333333333333,19,1,0.2544976111607598,,,0.0742007526310434,,2.0,10,0.0722007526310434,,1.0,2.0
TabPFN,42,member_rank_disagreement,0.2,0.20833333333333334,10,1,0.2613993837824278,,,0.07216517567683985,,2.0,10,0.07016517567683984,,1.0,1.0
TabPFN,42,group_composition_sd,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,group_composition_sd,0.8,0.7916666666666666,38,1,0.03862567020461757,,,0.005440473126242365,,2.0,10,0.003440473126242365,,3.0,4.0
TabPFN,42,group_composition_sd,0.6,0.5833333333333334,28,1,0.07060755336617405,,,0.014609499624705674,,2.0,10,0.012609499624705674,,2.0,3.0
TabPFN,42,group_composition_sd,0.4,0.3958333333333333,19,1,0.15263157894736842,,,0.06567939308668073,,2.0,10,0.06367939308668073,,1.0,2.0
TabPFN,42,group_composition_sd,0.2,0.20833333333333334,10,1,0.34545454545454546,,,0.059193610496521616,,2.0,10,0.057193610496521614,,1.0,1.0
TabPFN,42,mean_median_disagreement,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,mean_median_disagreement,0.8,0.7916666666666666,38,1,0.014115329904803589,,,0.01584301426560541,,2.0,10,0.013843014265605412,,3.0,4.0
TabPFN,42,mean_median_disagreement,0.6,0.5833333333333334,28,1,0.10673234811165844,,,0.03655954576573876,,2.0,10,0.03455954576573876,,2.0,3.0
TabPFN,42,mean_median_disagreement,0.4,0.3958333333333333,19,1,-0.27368421052631575,,,0.014591993024447594,,2.0,10,0.012591993024447594,,1.0,2.0
TabPFN,42,mean_median_disagreement,0.2,0.20833333333333334,10,1,-0.01818181818181818,,,-0.009907098126240634,,2.0,10,-0.011907098126240634,,1.0,1.0
TabPFN,42,predictive_interval_width,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,predictive_interval_width,0.8,0.7916666666666666,38,1,0.03162271583324215,,,0.011192879982374207,,2.0,10,0.009192879982374207,,3.0,4.0
TabPFN,42,predictive_interval_width,0.6,0.5833333333333334,28,1,0.04980842911877395,,,0.0011764768214293543,,2.0,10,-0.0008235231785706457,,2.0,3.0
TabPFN,42,predictive_interval_width,0.4,0.3958333333333333,19,1,0.12105263157894736,,,-0.013896686181467128,,2.0,10,-0.015896686181467126,,1.0,2.0
TabPFN,42,predictive_interval_width,0.2,0.20833333333333334,10,1,0.10303030303030303,,,-0.005651845174257441,,2.0,10,-0.007651845174257441,,1.0,1.0
TabPFN,42,predictive_std,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,predictive_std,0.8,0.7916666666666666,38,1,0.02199365357260094,,,0.004632369135494311,,2.0,10,0.002632369135494311,,3.0,4.0
TabPFN,42,predictive_std,0.6,0.5833333333333334,28,1,0.04980842911877395,,,0.0011764768214293543,,2.0,10,-0.0008235231785706457,,2.0,3.0
TabPFN,42,predictive_std,0.4,0.3958333333333333,19,1,0.12105263157894736,,,-0.013896686181467128,,2.0,10,-0.015896686181467126,,1.0,2.0
TabPFN,42,predictive_std,0.2,0.20833333333333334,10,1,0.10303030303030303,,,-0.005651845174257441,,2.0,10,-0.007651845174257441,,1.0,1.0
